direction,time,canid,len,data
TX,10:10:03.008,0x300,6,40 40 40 08 04 01
RX,10:10:03.011,0x101,32,46 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 0D F1 F7 F3 E5 55
TX,10:10:09.723,0x300,12,40 40 00 09 1C 01 00 01 10 42 10 20
RX,10:10:09.727,0x101,16,47 40 00 39 24 01 00 01 10 42 10 20 00 00 01 20
TX,10:10:14.748,0x300,16,40 40 00 19 24 01 00 01 10 01 02 20 01 00 00 00
TX,10:10:14.750,0x300,16,40 40 00 19 24 01 00 01 10 01 10 20 00 00 00 00
TX,10:10:14.752,0x300,16,40 40 00 19 24 01 00 01 10 03 07 20 01 00 00 00
TX,10:10:14.754,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:14.759,0x101,16,48 40 00 39 24 01 00 01 10 01 02 20 01 00 01 20
RX,10:10:14.760,0x101,16,49 40 00 39 24 01 00 01 10 01 10 20 00 00 01 20
RX,10:10:14.761,0x101,16,4A 40 00 39 24 01 00 01 10 03 07 20 01 00 01 20
RX,10:10:14.762,0x101,32,4B 40 40 28 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:14.776,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:14.777,0x101,32,4C 40 40 28 6C 01 1A 01 00 40 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:14.796,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:14.797,0x101,32,4D 40 40 28 6C 01 1A 01 00 40 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:14.815,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:14.817,0x101,32,4E 40 40 28 6C 01 1A 01 00 40 00 00 00 FF 7F 51 78 FF 7F EF 7A FF 7F FF 7F 12 09 F1 F7 EF E5 55
