sequence,time,direction,can_id,frame_type,brs,len,data,status,position_raw,position_rad,position_deg,human_state
1,2026-07-23T11:02:21.524,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
2,2026-07-23T11:02:21.531,RX,0x101,CAN FD,1,32,40 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 02 4C BC E8 40 1A,0x00,21877,-1.6617838,-95.21320,
3,2026-07-23T11:02:22.963,TX,0x300,CAN FD,1,12,40 40 00 09 1C 01 00 01 10 42 10 20,,,,,
4,2026-07-23T11:02:22.971,RX,0x101,CAN FD,1,16,41 40 00 39 24 01 00 01 10 42 10 20 00 00 01 20,,,,,0
5,2026-07-23T11:03:04.868,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
6,2026-07-23T11:03:04.901,RX,0x101,CAN FD,1,32,42 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 0C 4C BC F2 40 1A,0x00,21877,-1.6617838,-95.21320,
7,2026-07-23T11:03:10.657,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
8,2026-07-23T11:03:10.661,RX,0x101,CAN FD,1,32,43 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 0B 4C BC F1 40 1A,0x00,21877,-1.6617838,-95.21320,
9,2026-07-23T11:03:11.493,TX,0x300,CAN FD,1,12,40 40 00 09 1C 01 00 01 10 42 10 20,,,,,
10,2026-07-23T11:03:11.501,RX,0x101,CAN FD,1,16,44 40 00 39 24 01 00 01 10 42 10 20 00 00 01 20,,,,,0
11,2026-07-23T11:03:13.031,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
12,2026-07-23T11:03:13.061,RX,0x101,CAN FD,1,32,45 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 06 4C BC EC 40 1A,0x00,21877,-1.6617838,-95.21320,
13,2026-07-23T11:04:29.373,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
14,2026-07-23T11:04:29.404,RX,0x101,CAN FD,1,32,46 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 FF 4B BC E5 40 1A,0x00,21877,-1.6617838,-95.21320,
15,2026-07-23T11:04:33.139,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
16,2026-07-23T11:04:33.168,RX,0x101,CAN FD,1,32,47 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 01 4C BC E7 40 1A,0x00,21877,-1.6617838,-95.21320,
17,2026-07-23T11:04:35.323,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
18,2026-07-23T11:04:35.331,RX,0x101,CAN FD,1,32,48 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 05 4C BC EB 40 1A,0x00,21877,-1.6617838,-95.21320,
19,2026-07-23T11:04:36.074,TX,0x300,CAN FD,1,12,40 40 00 09 1C 01 00 01 10 42 10 20,,,,,
20,2026-07-23T11:04:36.081,RX,0x101,CAN FD,1,16,49 40 00 39 24 01 00 01 10 42 10 20 00 00 01 20,,,,,0
21,2026-07-23T11:04:43.015,TX,0x300,CAN FD,1,6,40 40 40 08 04 01,,,,,
22,2026-07-23T11:04:43.046,RX,0x101,CAN FD,1,32,4A 40 40 38 6C 01 1A 01 00 00 00 00 00 FF 7F 51 78 FF 7F 75 55 FF 7F FF 7F 11 08 4C BC EE 40 1A,0x00,21877,-1.6617838,-95.21320,
23,2026-07-23T11:39:22.415,TX,0x300,CAN FD,1,16,40 40 00 19 24 01 00 01 10 01 10 20 00 00 00 00,,,,,
24,2026-07-23T11:39:22.419,TX,0x300,CAN FD,1,16,40 40 00 19 24 01 00 01 10 01 10 20 00 00 00 00,,,,,
